provincia.id,provincia.codigo,provincia.nombre,provincia.region_academica_id,provincia.uuid
1,04,LUANDA,1,d1ed0496-00aa-47f0-ae73-48217ba92247
2,18,BENGO,1,3435d0c2-bf3b-4dd3-90a3-cd725f0de42b
3,09,BENGUELA,2,41dbd571-c587-42f8-ba1e-af056324e6ef
4,06,KWANZA SUL,2,a2424527-6bd8-471f-82ca-f95c3b2198de
5,01,CABINDA,3,986e1298-c55b-4515-b3d2-f7af42c75e35
6,02,ZAIRE,3,c33c538e-cf75-4d41-b65e-81ea6232cf8c
7,08,LUNDA NORTE,4,b6a39599-30e3-406a-88a5-e0af3fd74da6
8,17,LUNDA SUL,4,49f30d5a-ccd9-4fdd-b637-814fef148e06
9,07,MALANJE,4,7d3ca722-66e9-4ba4-abb6-c34196c558fb
10,10,HUAMBO,5,24e13245-4370-4f2c-b68d-cd56fb9cba25
11,11,BIÉ,5,1cc3fc9c-c887-4646-99df-c62d36a50661
12,12,MOXICO,5,b38a9063-6993-425f-8b1d-b67394e78a6a
13,15,HUÍLA,6,f9002c52-9dab-4a2c-ac3b-6de3b6fd9ab4
14,14,NAMIBE,6,b213e377-9977-4a67-83e2-1581df43ec74
15,16,CUNENE,6,f7a54a33-52b1-4684-9beb-156146654a6f
16,13,CUANDO CUBANGO,6,bd6e0fa9-6186-4931-9bba-bf35851fd176
17,03,UÍGE,7,acb21e8b-d2c5-4c45-883c-b63c71095104
18,05,KWANZA NORTE,7,44a28e9b-17bc-4549-9edd-2e8b35a4fddd
19,99,OUTRA,8,4a9f5199-aae6-4cdc-8c00-080b0bc19c0b
